date,cat_col,average,minimum,maximum,total_sum,total_count
2021-03-01,Alabama,3779.666666667,1852,5806,11339,3
2021-03-01,Arizona,7836,3655,9450,31344,4
2021-03-01,California,5644.5,1688,8780,45156,8
2021-03-01,Connecticut,4093,4093,4093,4093,1
2021-03-01,District of Columbia,3925,3288,5034,11775,3
2021-03-01,Florida,6057.166666667,4712,6875,36343,6
2021-03-01,Georgia,6861.75,4725,7607,27447,4
2021-03-01,Illinois,1093.5,992,1195,2187,2
2021-03-01,Iowa,1563,1563,1563,3126,2
2021-03-01,Kentucky,5523,5523,5523,5523,1
2021-03-01,Louisiana,6287.666666667,4311,8768,18863,3
2021-03-01,Maryland,2941,826,5056,5882,2
2021-03-01,Minnesota,5070.5,2230,7911,10141,2
2021-03-01,Nevada,7931,7931,7931,7931,1
2021-03-01,New York,2971.333333333,261,6865,17828,6
2021-03-01,North Carolina,6693.5,4694,8693,13387,2
2021-03-01,North Dakota,960,960,960,1920,2
2021-03-01,Ohio,8111,7472,8750,16222,2
2021-03-01,Oklahoma,2690.75,440,4226,10763,4
2021-03-01,Pennsylvania,6459.5,5156,7857,25838,4
2021-03-01,Tennessee,3366,3366,3366,6732,2
2021-03-01,Texas,7455.777777778,3898,9762,67102,9
2021-03-01,Utah,5993,5993,5993,5993,1
2021-03-01,Virginia,5521.666666667,1879,8334,16565,3
2021-03-01,Washington,2384,2384,2384,4768,2
2021-03-01,West Virginia,7043,7043,7043,7043,1
2021-03-01,Wisconsin,80,80,80,160,2
2021-03-01,,,,,,8
2021-03-02,Alabama,3679,3679,3679,3679,1
2021-03-02,Alaska,1974,1974,1974,1974,1
2021-03-02,California,6494.909090909,105,9356,71444,11
2021-03-02,Colorado,4686,2326,7046,9372,2
2021-03-02,District of Columbia,6537,4587,9248,19611,3
2021-03-02,Florida,4612.375,2486,5950,36899,8
2021-03-02,Georgia,5070.857142857,2478,8961,35496,7
2021-03-02,Hawaii,8537,8537,8537,8537,1
2021-03-02,Illinois,3857,2985,4729,7714,2
2021-03-02,Kansas,3905,2501,5309,7810,2
2021-03-02,Louisiana,7482.25,5077,8284,29929,4
2021-03-02,Massachusetts,8151.333333333,4682,9886,24454,3
2021-03-02,Michigan,5210,4374,6046,10420,2
2021-03-02,Minnesota,1890,1890,1890,1890,1
2021-03-02,Mississippi,6966,6301,7631,13932,2
2021-03-02,Missouri,6394,3621,7888,19182,3
2021-03-02,Nevada,7066,6834,7298,14132,2
2021-03-02,New Jersey,178,178,178,178,1
2021-03-02,New Mexico,6507,6507,6507,6507,1
2021-03-02,New York,3572.6,606,7444,17863,5
2021-03-02,North Carolina,6905.5,5928,7883,13811,2
2021-03-02,Ohio,9200,8743,9657,18400,2
2021-03-02,Pennsylvania,6008.75,5330,6759,24035,4
2021-03-02,South Carolina,4836,4836,4836,4836,1
2021-03-02,Tennessee,2600,2600,2600,2600,1
2021-03-02,Texas,3151.111111111,631,9685,28360,9
2021-03-02,Utah,3035,3035,3035,3035,1
2021-03-02,Virginia,5349.75,863,9136,21399,4
2021-03-02,Washington,2476,1760,3192,4952,2
2021-03-02,West Virginia,2440,338,4542,4880,2
2021-03-02,Wisconsin,391,391,391,391,1
2021-03-02,,,,,,18
2021-03-03,Alabama,8266,8266,8266,8266,1
2021-03-03,Arizona,6619.333333333,5520,7310,19858,3
2021-03-03,Arkansas,8690,8690,8690,8690,1
2021-03-03,California,7830.285714286,2072,9588,54812,7
2021-03-03,Connecticut,3047,390,5704,6094,2
2021-03-03,District of Columbia,3228.6,564,5199,16143,5
2021-03-03,Florida,5005.25,519,8555,80084,16
2021-03-03,Georgia,3170,3170,3170,3170,1
2021-03-03,Illinois,1249,1249,1249,1249,1
2021-03-03,Iowa,3909,2000,5818,7818,2
2021-03-03,Kansas,6596,6596,6596,6596,1
2021-03-03,Louisiana,9149,9149,9149,9149,1
2021-03-03,Maryland,9158,9158,9158,18316,2
2021-03-03,Massachusetts,6486,5380,7592,12972,2
2021-03-03,Michigan,7680.5,5911,9450,15361,2
2021-03-03,Minnesota,7324,7324,7324,7324,1
2021-03-03,Missouri,7593.5,5421,9766,15187,2
2021-03-03,New Hampshire,2240,2240,2240,6720,3
2021-03-03,New Jersey,8685.333333333,8153,9750,26056,3
2021-03-03,New Mexico,6718.5,3836,9601,13437,2
2021-03-03,New York,2124.5,128,6315,8498,4
2021-03-03,North Carolina,4473.5,2446,6501,8947,2
2021-03-03,Ohio,3880.666666667,377,5878,11642,3
2021-03-03,Oregon,5130,5130,5130,5130,1
2021-03-03,South Carolina,6051,6051,6051,6051,1
2021-03-03,Tennessee,5482.6,1371,7698,27413,5
2021-03-03,Texas,5405.166666667,2043,9472,32431,6
2021-03-03,Utah,2697,2697,2697,2697,1
2021-03-03,Virginia,7236.5,6993,7480,14473,2
2021-03-03,Washington,4929,4929,4929,4929,1
2021-03-03,,,,,,11
2021-03-04,California,3456,1632,8885,20736,6
2021-03-04,Colorado,5104.333333333,1124,8581,15313,3
2021-03-04,Connecticut,6733,6733,6733,6733,1
2021-03-04,Florida,4108.6,208,7894,20543,5
2021-03-04,Georgia,1958,1958,1958,1958,1
2021-03-04,Idaho,9449,9449,9449,9449,1
2021-03-04,Illinois,3453.4,903,8840,17267,5
2021-03-04,Indiana,5936.5,3622,8251,11873,2
2021-03-04,Iowa,2887,410,5364,5774,2
2021-03-04,Kansas,9504,9504,9504,9504,1
2021-03-04,Kentucky,1647,1647,1647,1647,1
2021-03-04,Louisiana,7852,7852,7852,7852,1
2021-03-04,Massachusetts,3364,3364,3364,3364,1
2021-03-04,Michigan,4415.2,2117,7919,22076,5
2021-03-04,Minnesota,7286,7286,7286,7286,1
2021-03-04,Missouri,2559.5,564,4555,5119,2
2021-03-04,Nebraska,9854,9854,9854,9854,1
2021-03-04,Nevada,3321,3321,3321,3321,1
2021-03-04,New Mexico,2328,2328,2328,2328,1
2021-03-04,New York,5877.714285714,1077,9429,41144,7
2021-03-04,North Carolina,5882,5137,6627,11764,2
2021-03-04,Ohio,3572.714285714,239,8309,25009,7
2021-03-04,Pennsylvania,7140,7140,7140,7140,1
2021-03-04,Rhode Island,2025,2025,2025,2025,1
2021-03-04,South Carolina,907.5,134,1681,1815,2
2021-03-04,Tennessee,5053,5053,5053,5053,1
2021-03-04,Texas,5207.666666667,613,9796,31246,6
2021-03-04,Vermont,6236,6236,6236,6236,1
2021-03-04,Virginia,8466,8466,8466,8466,1
2021-03-04,Washington,7047.666666667,5590,9786,21143,3
2021-03-04,West Virginia,9326,9326,9326,9326,1
2021-03-04,,,,,,9
2021-03-05,Alabama,2501.833333333,854,6390,15011,6
2021-03-05,Arizona,8034,8034,8034,8034,1
2021-03-05,California,5380.9,395,9474,53809,10
2021-03-05,Colorado,8213,8213,8213,8213,1
2021-03-05,Connecticut,4576,4576,4576,9152,2
2021-03-05,Delaware,3442,3442,3442,6884,2
2021-03-05,District of Columbia,6915,6915,6915,6915,1
2021-03-05,Florida,2197.8,208,5579,10989,5
2021-03-05,Georgia,8167,8167,8167,8167,1
2021-03-05,Illinois,8619.5,8426,8813,17239,2
2021-03-05,Indiana,7790.5,7550,8031,15581,2
2021-03-05,Kentucky,8155,8155,8155,16310,2
2021-03-05,Louisiana,3461.75,1651,7387,13847,4
2021-03-05,Maryland,9059,9059,9059,9059,1
2021-03-05,Massachusetts,4458,1450,7466,8916,2
2021-03-05,Michigan,466,466,466,466,1
2021-03-05,Minnesota,154,154,154,154,1
2021-03-05,Missouri,4355,1680,7030,8710,2
2021-03-05,Nebraska,5956,5956,5956,5956,1
2021-03-05,New Jersey,7820,7820,7820,15640,2
2021-03-05,New Mexico,2131,2131,2131,2131,1
2021-03-05,New York,6763.75,3009,8899,54110,8
2021-03-05,North Carolina,1453,1453,1453,1453,1
2021-03-05,Ohio,8120,8120,8120,8120,1
2021-03-05,Oklahoma,8739,8739,8739,8739,1
2021-03-05,Oregon,2825,2825,2825,2825,1
2021-03-05,Pennsylvania,7450.4,6020,8404,37252,5
2021-03-05,South Carolina,8726,8726,8726,8726,1
2021-03-05,Tennessee,3373,3373,3373,3373,1
